央视频道,#genre#
辽宁卫视,http://39.134.61.218/PLTV/88888888/224/3221226425/index.m3u8
浙江卫视,http://39.134.61.218/PLTV/88888888/224/3221226427/index.m3u8
东方卫视,http://39.134.61.218/PLTV/88888888/224/3221226434/index.m3u8
广东卫视,http://39.134.61.218/PLTV/88888888/224/3221226436/index.m3u8
安徽卫视,http://39.134.61.218/PLTV/88888888/224/3221226447/index.m3u8
北京卫视,http://39.134.61.218/PLTV/88888888/224/3221226449/index.m3u8
东方卫视,http://39.134.61.218/PLTV/88888888/224/3221226453/index.m3u8
湖北卫视,http://39.134.61.218/PLTV/88888888/224/3221226455/index.m3u8
金鹰纪实,http://39.134.61.218/PLTV/88888888/224/3221226459/index.m3u8
深圳卫视,http://39.134.61.218/PLTV/88888888/224/3221226463/index.m3u8
天津卫视,http://39.134.61.218/PLTV/88888888/224/3221226465/index.m3u8
纪实科教,http://39.134.61.218/PLTV/88888888/224/3221226472/index.m3u8
山西卫视,http://39.134.61.218/PLTV/88888888/224/3221226475/index.m3u8
广东卫视,http://39.134.61.218/PLTV/88888888/224/3221226476/index.m3u8
黑龙江卫视,http://39.134.61.218/PLTV/88888888/224/3221226478/index.m3u8
湖南卫视,http://39.134.61.218/PLTV/88888888/224/3221226480/index.m3u8
山东卫视,http://39.134.61.218/PLTV/88888888/224/3221226486/index.m3u8
四川卫视,http://39.134.61.218/PLTV/88888888/224/3221226488/index.m3u8
重庆卫视,http://39.134.61.218/PLTV/88888888/224/3221226490/index.m3u8
河南卫视,http://39.134.61.218/PLTV/88888888/224/3221226491/index.m3u8
新动漫,http://39.134.61.218/PLTV/88888888/224/3221226501/index.m3u8
厦门卫视,http://39.134.61.218/PLTV/88888888/224/3221226529/index.m3u8
湖南卫视,http://39.134.61.218/PLTV/88888888/224/3221226532/index.m3u8
东南卫视,http://39.134.61.218/PLTV/88888888/224/3221226536/index.m3u8
浙江卫视,http://39.134.61.218/PLTV/88888888/224/3221226541/index.m3u8
江西卫视,http://39.134.61.218/PLTV/88888888/224/3221226516/index.m3u8
嘉佳卡通,http://39.134.61.218/PLTV/88888888/224/3221226514/index.m3u8
江西卫视,http://39.134.61.218/PLTV/88888888/224/3221226505/index.m3u8
金鹰卡通,http://39.134.61.218/PLTV/88888888/224/3221226543/index.m3u8
优漫卡通,http://39.134.61.218/PLTV/88888888/224/3221226548/index.m3u8
安徽卫视,http://39.134.61.218/PLTV/88888888/224/3221226569/index.m3u8
北京卫视,http://39.134.61.218/PLTV/88888888/224/3221226574/index.m3u8
重庆卫视,http://39.134.61.218/PLTV/88888888/224/3221226575/index.m3u8
河北卫视,http://39.134.61.218/PLTV/88888888/224/3221226576/index.m3u8
湖北卫视,http://39.134.61.218/PLTV/88888888/224/3221226579/index.m3u8
广西卫视,http://39.134.61.218/PLTV/88888888/224/3221226580/index.m3u8
海南卫视,http://39.134.61.218/PLTV/88888888/224/3221226585/index.m3u8
宁夏卫视,http://39.134.61.218/PLTV/88888888/224/3221226587/index.m3u8
山东卫视,http://39.134.61.218/PLTV/88888888/224/3221226589/index.m3u8
陕西卫视,http://39.134.61.218/PLTV/88888888/224/3221226591/index.m3u8
深圳卫视,http://39.134.61.218/PLTV/88888888/224/3221226595/index.m3u8
四川卫视,http://39.134.61.218/PLTV/88888888/224/3221226597/index.m3u8
天津卫视,http://39.134.61.218/PLTV/88888888/224/3221226599/index.m3u8
新疆卫视,http://39.134.61.218/PLTV/88888888/224/3221226601/index.m3u8
兵团卫视,http://39.134.61.218/PLTV/88888888/224/3221226602/index.m3u8
东方卫视,http://39.134.61.218/PLTV/88888888/224/3221226610/index.m3u8
甘肃卫视,http://39.134.61.218/PLTV/88888888/224/3221226612/index.m3u8
